PhoneId,Pixel Density,Screen Size,Weight,RAM,Processor_frequency,Screen to Body Ratio (calculated),Height,Internal Memory,Capacity,Resolution,Rating,Brand,OS Name,Sim 1,Sim 2,SIM Slot,Processesor
47,269,6.26,167,4,1.8,80.8,158.7,32,4000,8,3.9,Honor,Android,4G,4G,"Dual SIM, GSM+GSM, Dual VoLTE",Octa
48,282,5.7,150,3,1.4,75.36,152.4,32,3000,8,4.2,Honor,Android,4G,4G,"Dual SIM, GSM+GSM",Octa
49,403,5.99,180,6,1.8,76.62,159,64,5000,16,4.3,Asus,Android,4G,4G,"Dual SIM, GSM+GSM, Dual VoLTE",Octa
50,295,5.45,140,2,1.4,72.63,147.2,16,3000,5,4.2,Asus,Android,4G,4G,"Dual SIM, GSM+GSM, Dual VoLTE",Octa
51,269,5.99,170,3,2,74.64,160.7,32,3080,16,4.3,Xiaomi,Android,4G,4G,"Dual SIM, GSM+GSM",Octa
52,400,6.3,150,6,1.95,84.91,154.8,64,3260,16,4.3,Vivo,Android,4G,4G,"Dual SIM, GSM+GSM",Octa
53,274,6,178,4,1.4,73.94,161.4,64,3300,8,4.2,Samsung,Android,4G,4G,"Dual SIM, GSM+GSM",Quad
54,405,6.23,158,4,2,82.06,156,64,3400,25,4.4,OPPO,Android,4G,4G,"Dual SIM, GSM+GSM, Dual VoLTE",Octa
55,409,6.3,169,4,2.2,82.03,157.6,128,3340,24,4.1,Huawei,Android,4G,4G,"Dual SIM, GSM+GSM, Dual VoLTE",Octa
56,401,5.5,180,4,2.3,70.95,154.5,64,4000,13,3.8,Lenovo,Android,4G,4G,"Dual SIM, GSM+GSM",Deca
57,409,6.3,168,4,2.1,83.68,157,64,3500,25,4.4,Realme,Android,4G,4G,"Dual SIM, GSM+GSM, Dual VoLTE",Octa
58,531,6.2,189,6,2.7,83.99,158.1,64,3500,8,4.6,Samsung,Android,4G,4G,"Dual SIM, GSM+GSM, Dual VoLTE",Octa
59,427,5.65,149,3,2.36,75.88,151,32,3000,13,4.3,Honor,Android,4G,4G,"Dual SIM, GSM+GSM",Octa
60,463,5.8,174,3,2.39,80.93,143.6,64,2716,7,4.5,Apple,iOS,4G,Other,"Single SIM, GSM",Hexa
61,294,5,137,2,1.4,69.86,140.4,16,3000,5,4.5,Xiaomi,Android,4G,2G,"Dual SIM, GSM+GSM",Quad
62,295,5.45,150,3,1.4,73.4,147.3,32,4000,8,4.2,Asus,Android,4G,4G,"Dual SIM, GSM+GSM, Dual VoLTE",Octa
63,167,2.4,161,512,1,72.35,149.9463939,4,2000,8,3.9,Reliance,KAI,4G,Other,"Single SIM, GSM",Dual
64,270,6.22,151,4,2,82.33,155.2,32,3260,8,4.3,Vivo,Android,4G,4G,"Dual SIM, GSM+GSM",Octa
65,269,5.99,164,3,1.8,76.26,158.3,32,3000,8,4,Honor,Android,4G,4G,"Dual SIM, GSM+GSM",Octa
66,294,5.6,154,4,1.6,76.28,149.3,64,3000,8,4.3,Samsung,Android,4G,4G,"Dual SIM, GSM+GSM",Octa
67,269,5.99,160,4,1.8,78.51,155.8,64,3225,24,4.3,Vivo,Android,4G,4G,"Dual SIM, GSM+GSM",Octa
68,403,5.99,168,6,2.2,77.38,158.7,128,3010,20,3.9,Xiaomi,Android,4G,4G,"Dual SIM, GSM+GSM, Dual VoLTE",Octa
69,295,5.45,160,2,1.3,73.75,146.8,16,4000,8,4.2,Lenovo,Android,4G,4G,"Dual SIM, GSM+GSM",Quad
70,402,6.28,177,6,2.8,83.55,155.7,64,3300,16,4.5,OnePlus,Android,4G,4G,"Dual SIM, GSM+GSM, Dual VoLTE",Octa
72,295,5.45,139,1,1.5,74.53,146.5,16,3000,5,4,Lava,Android,4G,2G,"Dual SIM, GSM+GSM",Quad
73,403,6.4,186,8,2.65,86.29,156.7,256,3730,25,4.6,OPPO,Android,4G,4G,"Dual SIM, GSM+GSM",Octa
74,268,6,150,3,1.4,78.62,155.9,16,3360,5,4.2,Vivo,Android,4G,4G,"Dual SIM, GSM+GSM",Quad
75,163,2.45,117,512,1.1,28.26,133.4,4,1500,2,2.8,Nokia,KAI,4G,2G,"Dual SIM, GSM+GSM",Dual
76,403,6.4,182,8,2,85.05,157.5,128,3500,25,4.4,OPPO,Android,4G,4G,"Dual SIM, GSM+GSM, Dual VoLTE",Octa
77,270,6.22,152,4,2,82.33,155.2,64,3260,8,4.3,Vivo,Android,4G,4G,"Dual SIM, GSM+GSM",Octa
79,282,5.7,157,2,1.8,75.87,151.8,16,3300,5,4.2,Xiaomi,Android,4G,4G,"Dual SIM, GSM+GSM",Octa
80,295,5.45,145,2,2,72.68,147.5,32,3000,5,4.4,Xiaomi,Android,4G,4G,"Dual SIM, GSM+GSM, Dual VoLTE",Quad
81,401,5.5,188,3,2.34,67.51,158.2,32,2900,7,4.4,Apple,iOS,4G,Other,"Single SIM, GSM",Quad
83,267,5.5,161,1,1.4,69.8,153.6,8,4000,5,4,Nokia,Android,4G,2G,"Dual SIM, GSM+GSM",Quad
85,402,6,155,6,2,78.94,156.5,128,3410,8,4.4,Realme,Android,4G,4G,"Dual SIM, GSM+GSM, Dual VoLTE",Octa
86,426,5.84,160,4,1.8,80.65,149.7,64,3060,8,4.4,Nokia,Android,4G,4G,"Dual SIM, GSM+GSM, Dual VoLTE",Octa
87,432,5.84,145,4,2.36,80.06,148.6,64,3000,24,4.1,Huawei,Android,4G,3G,"Dual SIM, GSM+GSM",Octa
89,403,5.99,181,6,1.8,77.43,158.6,64,4000,20,4.5,Xiaomi,Android,4G,4G,"Dual SIM, GSM+GSM, Dual VoLTE",Octa
90,402,6,152,4,2.5,78.11,156.5,32,3200,20,4.3,OPPO,Android,4G,4G,"Dual SIM, GSM+GSM",Octa
91,401,5.5,172,3,2.2,73.76,148.8,32,3000,8,3.9,Nokia,Android,4G,4G,"Dual SIM, GSM+GSM",Octa
93,294,5.6,154,4,1.6,76.28,149.3,64,3000,8,4.3,Samsung,Android,4G,4G,"Dual SIM, GSM+GSM",Octa
94,411,6,191,6,2.2,75.82,159.9,64,3500,16,4.1,Samsung,Android,4G,4G,"Dual SIM, GSM+GSM",Octa
95,424,5.2,165,3,2.6,68.04,147.9,32,4000,8,4.1,Lenovo,Android,4G,4G,"Dual SIM, GSM+GSM",Octa
96,268,6,150,2,1.4,78.77,155.8,16,3360,5,4.2,Vivo,Android,4G,4G,"Dual SIM, GSM+GSM",Quad
97,167,2.4,58,512,1.1,23.6,134,4,2000,8,3.4,Micromax,Other,4G,2G,"Dual SIM, GSM+GSM",Dual
98,294,5.6,162,4,1.6,75.33,149.9,32,3000,16,4.2,Samsung,Android,4G,4G,"Dual SIM, GSM+GSM",Octa
99,456,6.5,208,4,2.49,84.89,157.5,64,3174,7,4.6,Apple,iOS,4G,4G,"Dual SIM, GSM+GSM",Hexa
100,424,5.7,167,3,1.8,75.4,153.8,32,3000,16,3.8,Moto,Android,4G,4G,"Dual SIM, GSM+GSM",Octa
101,402,6,186,4,2.2,77.63,158.3,64,3800,16,4.3,Nokia,Android,4G,4G,"Dual SIM, GSM+GSM, Dual VoLTE",Octa
104,324,6.1,194,3,2.49,79.79,150.9,64,2942,7,4.5,Apple,iOS,4G,4G,"Dual SIM, GSM+GSM",Hexa
105,401,5.5,167,3,1.6,73.13,151.7,16,3300,8,4.2,Samsung,Android,4G,4G,"Dual SIM, GSM+GSM",Octa
106,326,4,113,2,1.84,60.66,123.8,32,1642,8,4.5,Apple,iOS,4G,Other,"Single SIM, GSM",Dual
107,403,6.18,182,6,2.8,82.2,155.5,128,4000,20,4.5,Xiaomi Poco,Android,4G,4G,"Dual SIM, GSM+GSM, Dual VoLTE",Octa
108,277,5.3,161,3,1.3,69,150.5,32,4000,20,4,Gionee,Android,4G,4G,"Dual SIM, GSM+GSM",Octa
109,268,6,197,3,1.4,76.68,160.9,32,5000,5,4.1,Moto,Android,4G,4G,"Dual SIM, GSM+GSM",Octa
110,401,5.5,165,4,2,72.5,151,64,4100,5,4.4,Xiaomi,Android,4G,4G,"Dual SIM, GSM+GSM",Octa
111,326,4.7,143,2,1.84,65.47,138.3,32,1715,5,4.5,Apple,iOS,4G,Other,"Single SIM, GSM",Dual
113,270,6.22,148,4,2,82.66,155,32,3260,5,4.1,Vivo,Android,4G,4G,"Dual SIM, GSM+GSM",Octa
114,568,5.8,155,4,2.3,84.57,148.9,64,3000,8,4.5,Samsung,Android,4G,4G,"Dual SIM, GSM+GSM",Octa
115,409,5.9,164,4,2.36,76.48,156.2,64,3340,13,4.3,Honor,Android,4G,2G,"Dual SIM, GSM+GSM",Octa
116,326,4.7,138,2,2.34,65.47,138.3,32,1960,7,4.5,Apple,iOS,4G,Other,"Single SIM, GSM",Quad
118,554,5.3,160,4,2.45,69.19,151.5,64,3090,13,3.9,Nokia,Android,4G,4G,"Dual SIM, GSM+GSM",Octa
122,218,4.5,131,1,1.1,61.58,133.6,8,2150,2,3.9,Nokia,Android,4G,4G,"Dual SIM, GSM+GSM",Quad
123,534,5.5,157,4,2.3,75.94,150.9,32,3600,5,4.4,Samsung,Android,4G,4G,"Dual SIM, GSM+GSM",Octa
124,409,6.3,169,6,2,83.84,156.7,128,3500,25,4.4,OPPO,Android,4G,4G,"Dual SIM, GSM+GSM, Dual VoLTE",Octa
125,344,6.4,211,4,2,72.95,174.1,64,5300,5,4.4,Xiaomi,Android,4G,4G,"Dual SIM, GSM+GSM",Octa
126,367,6,226,4,2.6,71.43,166.4,64,4550,20,4,Gionee,Android,4G,4G,"Dual SIM, GSM+GSM",Octa
129,295,5.45,161,2,1.5,73.05,148,16,4000,5,4.1,Yu,Android,4G,4G,"Dual SIM, GSM+GSM, Dual VoLTE",Quad
130,295,5.45,138,2,1.5,72.95,148,16,3050,8,4.1,Infinix,Android,4G,4G,"Dual SIM, GSM+GSM, Dual VoLTE",Quad
131,408,6.1,180,6,2.36,81.76,155,128,4000,24,4.4,Huawei,Android,4G,4G,"Dual SIM, GSM+GSM, Dual VoLTE",Octa
133,326,4.7,129,1,1.4,66.14,137.1,32,1810,8,4.3,Apple,iOS,4G,Other,"Single SIM, GSM",Dual
134,386,5.7,179,4,2.39,72.37,156.7,32,3300,13,4.3,Samsung,Android,4G,4G,"Dual SIM, GSM+GSM",Octa
135,367,6,210,4,1.8,75.69,161.7,32,5000,8,4.2,Samsung,Android,4G,4G,"Dual SIM, GSM+GSM",Octa
137,269,6.26,160,4,1.8,80.64,158.4,64,4000,8,4.3,Asus,Android,4G,4G,"Dual SIM, GSM+GSM, Dual VoLTE",Octa
138,295,5.45,144,2,1.4,73.61,147.7,16,3200,5,3.4,10.or,Android,4G,4G,"Dual SIM, GSM+GSM",Quad
139,282,5.7,139,4,1.8,77.14,149.3,32,3000,24,4.3,Vivo,Android,4G,4G,"Dual SIM, GSM+GSM",Octa
140,282,5.7,143,3,2.5,76.21,150.5,32,3180,8,4.3,OPPO,Android,4G,4G,"Dual SIM, GSM+GSM",Octa
142,267,5.5,154,4,1.5,71.65,153.8,32,3000,20,4.2,Vivo,Android,4G,4G,"Dual SIM, GSM+GSM",Octa
144,401,5.5,202,3,2.39,67.25,158.4,64,2675,7,4.6,Apple,iOS,4G,Other,"Single SIM, GSM",Hexa
145,522,6.3,184,4,2.5,83.49,158,64,3430,8,4.8,Google,Android,4G,Other,"Single SIM, GSM",Octa
146,409,6.3,176,6,2.36,82.98,157.9,64,3750,16,4.4,Honor,Android,4G,4G,"Dual SIM, GSM+GSM, Dual VoLTE",Octa
147,403,5.99,170,4,1.8,76.57,158.9,64,4000,16,3.4,Blackberry,Android,4G,4G,"Dual SIM, GSM+GSM",Octa
148,401,5.5,180,3,2.3,70.95,154.5,32,4000,13,3.7,Lenovo,Android,4G,4G,"Dual SIM, GSM+GSM",Deca
149,167,2.4,161,16,1.79,30.11,118,32,1020,8,4.2,Nokia,Other,2G,2G,"Dual SIM, GSM+GSM",Other
150,407,5.93,168,6,2.2,74.66,161,64,3200,16,4.3,Moto,Android,4G,4G,"Dual SIM, GSM+GSM",Octa
155,396,6.5,175,6,2.2,84.23,160.4,64,3750,16,4.4,Honor,Android,4G,4G,"Dual SIM, GSM+GSM, Dual VoLTE",Octa
156,402,6.28,161,6,2.2,84.93,154.4,128,3200,12,4.3,Vivo,Android,4G,4G,"Dual SIM, GSM+GSM",Octa
157,401,5.5,153,4,1.5,72.17,153.3,64,3200,16,4.2,Oppo,Android,4G,4G,"Dual SIM, GSM+GSM",Octa
158,267,5.5,150,2,1.4,71.36,153,16,3080,5,4.1,Xiaomi,Android,4G,4G,"Dual SIM, GSM+GSM",Quad
159,403,5.99,185,6,2.45,80.79,151.8,128,3400,5,4.3,Xiaomi,Android,4G,4G,"Dual SIM, GSM+GSM",Octa
160,409,6.3,166,6,2.36,84.02,157,128,3750,24,4,Huawei,Android,4G,4G,"Dual SIM, GSM+GSM, Dual VoLTE",Octa
161,424,5.7,167,4,1.8,75.4,153.8,64,3000,16,3.9,Moto,Android,4G,4G,"Dual SIM, GSM+GSM",Octa
162,326,4.7,148,2,2.39,65.23,138.4,64,1821,7,4.4,Apple,iOS,4G,Other,"Single SIM, GSM",Hexa
163,401,5.5,192,2,1.84,67.51,158.2,32,2750,5,4.4,Apple,iOS,4G,Other,"Single SIM, GSM",Dual
164,282,5.2,170,3,1.3,67.68,149.5,32,5000,5,3.9,Micromax,Android,4G,2G,"Dual SIM, GSM+GSM",Quad
167,441,5,161,3,1.4,72.35,149.9463939,32,3000,16,3.1,Micromax,Android,4G,2G,"Dual SIM, GSM+GSM",Octa
168,167,2.4,161,3,1.79,30.26,115.6,0,1200,2,3.7,Nokia,Other,2G,2G,"Dual SIM, GSM+GSM",Other
170,282,5.2,137,3,1.5,68.04,148.1,16,3010,5,4.2,Oppo,Android,4G,3G,"Dual SIM, GSM+GSM",Octa
173,294,5,137,3,1.4,69.86,140.4,32,3000,5,4.4,Xiaomi,Android,4G,2G,"Dual SIM, GSM+GSM",Quad
174,576,5.1,132,3,2.1,71.82,142.1,32,2600,5,4,Samsung,Android,4G,Other,"Single SIM, GSM",Octa
176,310,5.2,161,2,1.5,69.58,146.2,16,2990,8,4,Nokia,Android,4G,2G,"Dual SIM, GSM+GSM",Octa
178,167,2.4,81,3,1.79,30.11,118,32,1020,8,4.1,Nokia,Other,2G,2G,"Dual SIM, GSM+GSM",Other
179,282,5.7,143,2,2.5,76.21,150.5,32,3180,8,4.2,OPPO,Android,4G,4G,"Dual SIM, GSM+GSM",Octa
180,427,5.65,149,4,2.36,75.88,151,64,3000,13,4.3,Honor,Android,4G,4G,"Dual SIM, GSM+GSM",Octa
182,295,5.45,150,2,1.3,73.64,146.2,16,3000,8,4.2,Meizu,Android,4G,4G,"Dual SIM, GSM+GSM",Quad
184,367,6,188,6,1.95,75.32,162.9,64,4000,16,4.3,Samsung,Android,4G,4G,"Dual SIM, GSM+GSM",Octa
185,143,2.8,105,64,1.79,33.3,126.8,32,1200,2,4.1,Samsung,Other,2G,2G,"Dual SIM, GSM+GSM",312
186,282,5.7,150,2,1.3,76.61,152,16,4000,8,3.6,InFocus,Android,4G,4G,"Dual SIM, GSM+GSM",Quad
187,282,5.2,147,3,1.4,68.42,149.1,32,2900,16,4.1,Oppo,Android,4G,4G,"Dual SIM, GSM+GSM",Octa
188,267,5.5,198,3,1.3,69.26,155,32,5000,5,4,Moto,Android,4G,2G,"Dual SIM, GSM+GSM",Quad
189,390,6.2,172,3,1.5,79.74,160.1,32,3300,8,3.8,LG,Android,4G,4G,"Dual SIM, GSM+GSM",Octa
190,294,5,161,1,1.3,67.2,143.5,8,4100,5,3.7,Nokia,Android,4G,4G,"Dual SIM, GSM+GSM",Quad
192,424,5.2,163,6,2.2,68.32,148.3,64,3000,16,4.3,Moto,Android,4G,4G,"Dual SIM, GSM+GSM",Octa
193,294,5,136,2,1.2,67.68,143.1,16,2630,5,4.1,Oppo,Android,4G,4G,"Dual SIM, GSM+GSM",Quad
194,392,6.3,183,8,2.2,80.86,162.5,128,3800,24,4.1,Samsung,Android,4G,4G,"Dual SIM, GSM+GSM",Octa
195,402,6.41,185,8,2.8,85.43,157.5,128,3700,16,4.5,OnePlus,Android,4G,4G,"Dual SIM, GSM+GSM",Octa
198,401,5.5,182,4,2,70.39,154.5,64,4010,16,4,Gionee,Android,4G,4G,"Dual SIM, GSM+GSM",Octa
199,402,6,152,3,2.5,78.11,156.5,32,3200,16,4.3,OPPO,Android,4G,4G,"Dual SIM, GSM+GSM",Octa
201,294,5,143,3,2.3,70.78,145,32,2300,8,3.6,Sony,Android,4G,4G,"Dual SIM, GSM+GSM",Octa
202,268,6.2,161,4,2,81.62,156.8,64,3750,24,4.1,Tecno,Android,4G,4G,"Dual SIM, GSM+GSM, Dual VoLTE",Octa
203,563,6.1,162,6,2.8,82.74,153.2,128,3000,8,4.5,LG,Android,4G,4G,"Dual SIM, GSM+GSM",Octa
204,401,5.5,169,3,1.4,71.27,154,32,3000,8,3.5,Nokia,Android,4G,4G,"Dual SIM, GSM+GSM",Octa
205,282,5.2,154,2,1.4,69.59,146,16,2620,8,4,Sony,Android,4G,4G,"Dual SIM, GSM+GSM",Octa
206,367,6,185,4,1.95,74.9,163.6,64,4000,16,4.3,OPPO,Android,4G,4G,"Dual SIM, GSM+GSM",Octa
207,439,5.5,148,4,2.5,78.62,145.6,64,2915,8,4.6,Google,Android,4G,Other,"Single SIM, GSM",Octa
208,197,5.45,161,1,1.1,73.46,148,8,2400,5,3.5,Itel,Android,4G,2G,"Dual SIM, GSM+GSM",Quad
211,269,6.26,167,4,1.8,80.8,158.7,64,4000,8,3.9,Honor,Android,4G,4G,"Dual SIM, GSM+GSM, Dual VoLTE",Octa
214,401,5.5,164,3,1.8,72.98,150,32,4050,5,4.1,Xiaomi,Android,4G,4G,"Dual SIM, GSM+GSM",Hexa
216,282,5.2,154,3,1.4,69.59,146,32,2620,8,3.9,Sony,Android,4G,4G,"Dual SIM, GSM+GSM",Octa
217,267,5.5,171,2,1.2,70.72,151.8,16,3000,5,3.8,Samsung,Android,4G,4G,"Dual SIM, GSM+GSM",Quad
218,282,5.2,137,3,1.8,68.04,148.1,16,3000,5,4.4,OPPO,Android,4G,4G,"Dual SIM, GSM+GSM",Octa
219,403,5.99,172,6,2.36,78.74,157,128,3750,13,4.3,Honor,Android,4G,4G,"Dual SIM, GSM+GSM, Dual VoLTE",Octa
220,386,5.7,151,2,1.8,73.64,158,32,3050,5,4,Samsung,Android,4G,4G,"Dual SIM, GSM+GSM",Octa
221,295,5.45,161,3,1.5,73.05,148,32,4000,5,3.9,Yu,Android,4G,4G,"Dual SIM, GSM+GSM, Dual VoLTE",Quad
222,576,5.1,152,4,2.3,72.18,142.4,32,3000,5,4.4,Samsung,Android,4G,4G,"Dual SIM, GSM+GSM",Octa
224,402,6,330,6,2,68.38,169.4,64,13000,8,4.7,Ulefone,Android,4G,4G,"Dual SIM, GSM+GSM",Octa
225,282,5.7,159,3,1.4,75.56,152,32,2900,16,3.9,Micromax,Android,4G,4G,"Dual SIM, GSM+GSM",Quad
226,401,5.5,188,3,2.34,67.51,158.2,128,2900,7,4.5,Apple,iOS,4G,Other,"Single SIM, GSM",Quad
227,201,5.34,161,2,1.28,72.35,149.9463939,16,3000,8,3.7,Mobiistar,Android,4G,2G,"Dual SIM, GSM+GSM",Quad
228,515,5.7,161,4,2.15,69.04,162.4,64,3000,16,4,HTC,Android,4G,4G,"Dual SIM, GSM+GSM",Quad
229,401,5.5,161,4,2,73.73,152.5,64,3055,20,4.3,Vivo,Android,4G,4G,"Dual SIM, GSM+GSM",Octa
232,143,2.8,161,8,1.79,35.3,124,32,1200,2,4.1,Nokia,Other,2G,2G,"Dual SIM, GSM+GSM",Other
233,401,5.5,155,4,1.5,73.03,151.5,32,4000,16,4.8,Tecno,Android,4G,2G,"Dual SIM, GSM+GSM",Octa
234,441,5,145,3,1.4,68.93,141.9,32,4000,8,4.1,Lenovo,Android,4G,4G,"Dual SIM, GSM+GSM",Octa
236,295,5.45,139,2,1.5,74.53,146.5,16,3000,5,4,Lava,Android,4G,2G,"Dual SIM, GSM+GSM",Quad
237,271,6.2,161,2,2,72.35,149.9463939,32,3750,8,4.7,Tecno,Android,4G,4G,"Dual SIM, GSM+GSM, Dual VoLTE",Quad
238,294,5,138,3,1.5,67.91,142.4,8,2600,5,4,Samsung,Android,4G,4G,"Dual SIM, GSM+GSM",Quad
239,401,5.5,165,4,1.8,72.31,152,32,3500,8,4.1,Lenovo,Android,4G,4G,"Dual SIM, GSM+GSM",Octa
240,220,5,157,2,1.2,66.69,143.8,16,2350,5,4,Vivo,Android,4G,4G,"Dual SIM, GSM+GSM",Quad
241,233,4,118,1,1.3,57.63,122.9,8,1400,8,3.4,Karbonn,Android,4G,2G,"Dual SIM, GSM+GSM",Quad
242,401,5.5,169,3,1.6,74.11,151.5,16,3300,5,4.1,Samsung,Android,4G,2G,"Dual SIM, GSM+GSM",Octa
244,390,6.2,172,4,1.5,79.74,160.1,64,3300,8,3.9,LG,Android,4G,4G,"Dual SIM, GSM+GSM",Octa
246,401,5.5,175,6,1.95,72.6,152.4,64,4000,8,3.1,Coolpad,Android,4G,4G,"Dual SIM, GSM+GSM",Octa
247,167,2.4,91,32,1.79,29.59,117.5,32,1200,2,4.1,Samsung,Other,2G,2G,"Dual SIM, GSM+GSM",Other
248,233,4,124,512,1.3,59.24,123,4,1700,2,3.7,Vivo,Android,3G,2G,"Dual SIM, GSM+GSM",Quad
250,401,5.5,155,2,1.5,71.55,153,16,3000,5,3.4,Moto,Android,4G,4G,"Dual SIM, GSM+GSM",Octa
251,294,5,156,2,1.4,65.95,145.2,16,3020,13,3.9,Mobiistar,Android,4G,4G,"Dual SIM, GSM+GSM",Quad
253,267,5.5,154,4,1.5,71.65,153.8,64,3000,20,4.3,Vivo,Android,4G,4G,"Dual SIM, GSM+GSM",Octa
254,537,6,158,4,2.45,81.22,151.7,128,3300,5,4.1,LG,Android,4G,4G,"Dual SIM, GSM+GSM",Octa
255,439,5.5,149,3,1.4,79.05,142.5,32,3000,5,3.7,LG,Android,4G,4G,"Dual SIM, GSM+GSM",Quad
256,282,5.7,147,3,1.3,75.67,152,32,3000,8,3.8,Lava,Android,4G,4G,"Dual SIM, GSM+GSM",Quad
258,294,5,143,2,1.4,69.28,142.8,16,2400,5,4,Samsung,Android,4G,4G,"Dual SIM, GSM+GSM",Quad
260,282,5.2,170,1,1.3,67.68,149.5,16,5000,5,3.8,Micromax,Android,4G,2G,"Dual SIM, GSM+GSM",Quad
262,456,6.5,208,4,2.49,84.89,157.5,256,3174,7,4.6,Apple,iOS,4G,4G,"Dual SIM, GSM+GSM",Hexa
267,402,6,185,8,2.35,78.45,158.1,128,3800,8,3.4,Nubia,Android,4G,4G,"Dual SIM, GSM+GSM",Octa
268,534,5.5,174,3,2,70.12,153.5,32,3200,8,3.3,HTC,Android,4G,Other,"Single SIM, GSM",Octa
270,268,6,161,3,1.8,76.66,158.2,32,2965,8,3.2,HTC,Android,4G,4G,"Dual SIM, GSM+GSM",Octa
